"id","x1_i","x2_i","group_i","g5_i","g6_i","g7_i","g8_i","time","tau_it","tau_t","z_it","z5_it","z6_it","z7_it","z8_it","y0_it","y_it","group","groupx"
1,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.19820537598719,5.19820537598719,"control","1,1"
2,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.4191447604753,5.4191447604753,"control","1,0"
3,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.41354762330662,5.41354762330662,"control","0,0"
4,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.188698055313505,0.925653030909598,0,0,0,0,0,5.1166011289541,5.1166011289541,"treat","1,0"
5,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,1,0.0822257713553086,0.925653030909598,0,0,0,0,0,5.1724950641701,5.1724950641701,"treat","1,1"
6,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,1,0.221493517407964,0.925653030909598,0,0,0,0,0,5.42106778673427,5.42106778673427,"treat","1,1"
7,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.62729703548153,5.62729703548153,"control","0,0"
8,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.150008275014559,0.925653030909598,0,0,0,0,0,5.26755618525368,5.26755618525368,"treat","1,0"
9,TRUE,TRUE,6,FALSE,TRUE,FALSE,FALSE,1,-0.751198008022456,0.925653030909598,0,0,0,0,0,5.24021013681889,5.24021013681889,"treat","1,1"
10,TRUE,TRUE,6,FALSE,TRUE,FALSE,FALSE,1,-0.135108969436236,0.925653030909598,0,0,0,0,0,5.36315976092617,5.36315976092617,"treat","1,1"
11,TRUE,FALSE,5,TRUE,FALSE,FALSE,FALSE,1,0.0346589340187872,0.925653030909598,0,0,0,0,0,5.1683013634618,5.1683013634618,"treat","1,0"
12,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,0,0.925653030909598,0,0,0,0,0,5.57137391183838,5.57137391183838,"control","0,0"
13,TRUE,TRUE,8,FALSE,FALSE,FALSE,TRUE,1,-0.169806160251578,0.925653030909598,0,0,0,0,0,5.32521672121473,5.32521672121473,"treat","1,1"
